Average of Unemployment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Afghanistan,Albania,Algeria,Anguilla,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Bolivia,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Chile,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,French Guiana,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guyana,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Korea Rep,Kyrgyzstan,Lao PDR,Latvia,Lesotho,Lithuania,Luxembourg,Macau SAR,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritius,Mexico,Mongolia,Morocco,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Norway,Pakistan,"Palestinian Territory, Occupied",Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Moldova,Reunion,Romania,Russian Federation,Rwanda,Saint Lucia,Sao Tome and Principe,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,St. Helena,Suriname,Swaziland,Sweden,Switzerland,Syria,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Grand Total
1994,,,,,18.5,,9.35,13.375,4.25,,18.7,,,33,16,17.675,3.15,31.35,,19.95,,,,13.075,,9.875,12.625,6.625,,,,6.625,9.15,,24.85,11.35,15.3,7.4,7.6,,25.2,20.2,,,8.45,,19.1,,36.675,,,3.15,,,5.6,3.1,15.65,8.425,5.975,13.75,,,19.425,,12.425,21.65,21.925,4.175,,,4.975,,,,,,5.75,4.1,,,,,,,,,,4.4,5.9,,,25.6,,8.575,20.5,,11.5,24.575,8.95,7.35,,22.7,,6.05,11.7,13.25,23.65,10.65,14,,,,8.2,8.1,,26.475,,,,4.175,20.475,15.175,20.35,34.6,27.025,,21.225,,16.025,4.825,9.65,,2,19.2,,11.95,,,,12.625,9.25,17.325,12.45,,,,4.9,14.26021127
1995,,,,,9.725,,,11.9,4.4,,16.05,,,28.775,15.725,19.65,4.925,,9.025,15.65,,,,12.1,,8.3,18.7,8.5,,9.2,,6.025,8.575,,30.1,11.5,15.85,10.025,9.3,,22.625,19.15,,,8.225,,19.275,,,26.45,,,,,4.45,4.975,14.075,7.85,,,,,15.55,,7.1,22.675,25.75,4.65,21,,4.275,,3.875,,,,5.25,4.85,,,,3.3,1.55,,,,26.25,15.225,7.9,,25.45,,,10.05,21.35,,9.05,20.575,8.35,10.85,,22.375,,4.9,9.35,12.65,22.4,11.6,19.575,,,,14.5,15.075,,25.625,,,13.7,3.85,18.875,13.075,17.2,32.85,24.225,,17.775,32.7,14.25,4.45,9.85,,1.15,24.8,,11.275,,5.6,4.05,11.725,8.825,17.925,10.9,,,,,13.57251656
1996,,,,,26.525,,,12.075,5.175,,17.875,,4.65,21.2,15.375,21.35,6.95,29.85,10.125,13.45,,,8,12.475,,9.525,17.875,9.9,10,8.6,,5.675,8.825,,25.85,16.05,,10.275,9.9,,21.175,19.6,,,9.125,,21.05,12.85,24.75,29.55,,,,,4.35,4.7,13.725,6.075,,10.15,10.95,,15.05,3.45,10.2,22.85,25.9,5.075,18.15,,4.225,,,27.525,,15.6,6.4,5.8,,,,2.55,,,,,27.45,6.4,6.225,,19.85,,,9.425,22.125,26.7,8.925,16.9,8.6,8.9,22.05,23.575,,11.775,10.35,11.375,20.6,12.025,20.325,,,37.7,13.75,15.375,0.7,26.175,,,13.45,4.875,16.275,13.175,21.4,32.2,13.4,,12.15,,15.525,4.15,,,1.75,23.425,,9.7,,7.65,,11.2,8.675,12.2,20.075,2.55,,15.5,,14.05152439
1997,,,,,19.9,36.2,14.1,12.225,5.2,,16.125,,,22.35,15.475,20.6,2.8,,11.55,13.7,,,,12.625,4.15,9.525,18.4,9.425,9.95,7.95,,6.9,6.85,32.375,25.425,14.775,12.5,9.975,11.625,,18.95,20.55,26.45,,10.025,,20.95,10.05,,29.7,,,,,3.3,3.7,12.15,5.8,,15.8,,,13.2,,11.375,22.875,25.675,5,,,5.2,,,20.5,43.55,19.6,5.05,5.775,36.9,,,2.6,,3.3,,,29,7.05,5.15,,18.55,28.35,,7.6,24.875,,9.825,13.7,7.275,12.475,20.2,21.775,,8.175,10.45,12.15,18.175,10.925,20.05,23.05,,36.5,12.175,11.85,,28.975,,,14.15,3.725,17.3,12.7,23.25,30.1,,,11.7,34,15.575,4.975,,,1.5,15.85,23.775,10.825,,8.95,,10.15,8.1,11.85,16.6,3.8,,,11.725,14.81686391
1998,,,,,18.65,,,11.15,4.95,,11.775,,,18.625,15.15,21.675,,17.75,13.675,12.2,2.45,7.6,,11.675,,12.175,22.7,9.55,20.425,6.9,,9.675,6.125,,16.55,18.45,20.9,10.025,12,,17.7,18.925,27.3,14.65,9.125,,21.05,11.55,24.175,31.05,,,,,5.35,7.525,10.475,4.4,,11.475,,,9.65,,12.775,22.85,25.15,5.9,,,11.675,,,20.65,,16.05,4.75,7.65,53.2,,0.9,5.95,,,,,29.35,7.3,4.325,,28.125,,,6.35,25.6,,10.975,14.975,6.175,11.6,14.8,23.225,,8.175,10.9,14.85,17.075,7.8,18.975,,,38.1,12.4,20.05,,33.475,,,13.95,5.125,18.85,12.975,35.525,27.525,19.5,24.9,12.1,,12.5,4.7,,,5.375,21.525,,10.35,,11.35,,9.125,7.475,17.625,17.1,3.175,,12.5,,14.80982659
1999,,,,8.55,19.4,,,10.1,4.325,,11.875,,,16.45,15.7,19.85,4.4,,14.5,14.05,,,,10.775,,15.3,28.525,9.95,13.65,6.95,6.1,13.05,7.6,16.25,16.35,20.975,18.75,9.175,12.15,,15.9,19.425,27.45,19.175,8.55,13.05,22.375,9,,30.15,2.2,,,12.675,5.7,6.05,9.575,3.225,,19.2,,,7.075,,12.85,22.075,25.65,6.95,,,10.375,,,19.025,,14.6,4.65,6.2,47.65,,,6.5,,,,32.45,28.25,8,2.925,,16.6,,2.475,5.3,,,10.2,11.4,6.375,9.6,12.3,19.85,,9.575,10.35,14.7,21.375,6.75,16.675,,11.1,37.9,6.8,19.125,,27.45,,5.9,13.95,4.55,25.025,13.075,36,23.15,18.725,,28.125,,10.675,4.375,10.6,,5.325,20.125,16.4,11.225,,11.55,,8.975,7.05,11.65,21.375,3.875,10.35,,9.95,14.15941176
2000,,,,,20.75,,,9.175,4.25,,,,6.95,14.6,11.175,,6.65,14.8,,25.825,,2.5,,9.7,,14.65,28.5,8.675,16.15,6.05,7.225,13,5.625,,20.55,,13.9,,17.45,,15.725,15.6,26.7,15.925,8.075,,20.95,11,,26,1.45,,,,,7.975,9.4,3.5,7.2,,,,5.375,,12.875,20.85,24.775,6.95,,,7.775,,,18.625,,16.35,4.475,8.475,46.475,,,5.65,3.35,,6.6,,26.45,8.95,3.325,20.125,13.4,32.1,,4.275,20.825,,9.525,8.35,6.825,15.4,13.35,22.6,2.8,11.15,10.5,15.9,25.775,6.45,14.725,,8.45,36.75,12.725,9.8,,26.55,15.15,6.55,12.9,,27.75,7.2,35.6,20.575,16.825,,,,8.825,3.825,,,4.425,18.325,16.1,9.625,,11.6,2.4,8.55,6.65,22.725,19.7,3.525,,,,13.68712575
2001,,28.975,29,10.35,25.5,,,10.175,4.55,,11.075,6.95,,16.65,10.85,10.6,7.15,29.5,14.1,28.8,,1.7,7.45,10,,13.8,15.15,10.275,25.95,4.45,5.9,12.5,6.25,18.375,17.65,16.125,24.575,,17.725,,14.525,13.95,26.75,15.6,8.025,,19.7,9.5,,27.7,1.35,,15.6,,,8.15,8.375,3.55,,,,,4.875,1.6,14.025,18.925,25,7.35,17.4,10.45,7.3,,,17.75,,16.05,4.075,8.475,30.75,,,3.6,,,11.05,,24.7,9.3,3.25,,15.3,38.1,9.05,4.3,,,8.55,15.6,6.95,11.7,26.325,15.75,,11.15,10.625,14.8,29.725,6.95,11.05,7.45,7.3,33.65,12,8.9,,,,6.5,13.05,4.65,29,11.225,29.7,16.425,8.75,,,,8.375,4.05,16.85,5.1,5.075,11.5,15.35,11.95,,10.9,,7.5,7.625,25.4,18.4,4.35,,,,13.60485714
2002,,,,7.9,,,,9.65,4.95,,14.475,,,16.95,11.3,11.4,7.525,,14.05,26,,,,10.55,,14.3,16.2,6.75,15,3.6,5.625,11.825,5.625,,18,14.3,22.9,8.275,14.275,,14.8,14.75,23.8,20.175,9.1,,18.825,8.8,,25.85,3.4,,,,5.4,11.125,9.15,5.15,,,16.8,,5.875,,15.6,18.275,23.6,7.7,17.6,13.425,6.025,16.5,,16.575,,18.4,4.95,8.925,45.25,,,3.55,,,7.25,,22.3,10.25,3.725,,14.65,,,4.575,,,8.325,,7.65,13.8,31.975,23.425,,15.475,9.95,16.075,31.975,8.475,17.725,,10.9,31.35,15,8.55,,25.7,,7.85,14.1,6.75,27.925,10.625,43.8,17.525,9.65,,,,9.05,4.25,23.175,,1.8,16.525,15.6,14.4,,9.65,,7.975,8.85,17.35,22.725,3.225,,,16.525,14.09670659
2003,,15.75,24.4,,26,,,9.125,5.35,,17.55,,5.475,18.725,13.25,,,23.85,14.925,20.775,,,,10.55,,13.675,14.7,11.225,25.1,2.55,6.45,12.85,7.6,,18.6,17.05,15.35,8.475,15.7,,15.325,15.8,25.05,18.675,9.85,,18.375,10.25,,27,3.7,,,,7.3,11.35,9.6,5.775,,10.3,,23.1,5.95,,16.475,18.05,17.175,7.65,17.2,11.725,6.975,9.95,,14.65,,18.9,7.675,9.475,51.225,6,,3.6,,,8,,22.25,10.8,4.05,17.15,14.45,,,6.025,,,7.45,10.65,8.025,11.6,22.55,22.975,,12.3,14.8,15.475,31.425,10.6,17.625,,13.025,33.1,12.75,7.9,,32.8,,,15.4,6.425,25.225,10.9,45.85,17.675,19.75,,,,9.75,6.325,18.65,,3.25,11.05,15.05,15.3,3.2,9.05,,8.1,9.2,28.15,23.3,3.525,,,,14.45828571
2004,,14.95,32.55,,20.5,,,8.55,7.325,,16.875,,,9.7,12.55,,,,14,18.8,,,,10.25,,13.6,20.1,11.15,23.95,1.95,7.8,14.375,6.5,,20.6,14,15.6,8.675,15.725,28.925,14.875,16.45,26.7,20.925,11.375,,19.15,10.4,,24.75,,,,,9.025,9.45,10.7,5.55,7.85,10.5,13.8,22.2,6.175,,15.45,16.2,20.525,7.05,14.15,11.4,7.225,12.15,,14.6,,16.95,11.375,7.8,51.025,,,,,9.05,12.15,,22.3,17.875,4.925,,13.025,,,7.175,,,6.675,,7.975,11.275,33,21.05,,,14.875,16.775,30.1,11.125,15.3,,13.825,33.8,14.3,7.9,,,,,,5.35,25.35,10.525,26.65,17.075,20.475,,,,11.75,5.975,,,2.975,8.8,15.15,14.8,,12.125,,7.725,8.65,,15.5,3.4,,,,14.38333333
2005,8.55,,16.2,,17.825,,,7.95,7.75,8.55,15.375,,,,14.025,16.85,,,,16.15,,,,9.575,,12.7,12.675,11.85,22.9,,9.8,13.7,6.4,,20.05,12.3,,,11.85,6.55,14.2,16.45,26.75,21.225,13.075,,18.3,9.2,,26.05,,,,,6.45,8.175,13.325,4.925,,20.225,19.9,,6.2,,13.4,16.3,11.35,6.525,,,7.15,,1.35,10.875,,11.925,9.3,6.2,50,,,,,,8,25.35,20.1,19.275,5.125,,13.225,,,7.425,,,6.575,,8.3,9.7,,17.55,,,16.275,12.125,27.9,12.05,17.025,,13.025,32.3,13.25,,,,,,,4.775,23.025,8.6,26.7,14.85,18.65,,,,15,6.675,,,3.05,8.4,22.775,14.8,,10.975,,8.125,8.175,21.275,,,,,,13.59366667
Grand Total,8.55,22.1625,26.94,9.2875,20.29772727,36.2,11.725,10.45416667,5.20625,8.55,15.25,6.95,5.691666667,20.20714286,13.88125,18.58125,5.682142857,24.57727273,12.88333333,20.09444444,2.45,4.85,7.725,11.1125,4.15,12.28541667,19.3775,9.608695652,20.09333333,5.82,7.053846154,10.51666667,7.09375,23.55,22.43235294,15.17045455,18.76785714,9.247058824,13.5825,17.7375,17.58333333,17.57083333,26.32777778,18.53666667,9.416666667,13.05,19.925,10.26,28.53333333,27.65909091,2.42,3.15,15.6,12.675,5.917647059,7.239130435,11.35,5.352083333,7.008333333,13.93181818,16.27,22.65,9.533333333,2.525,13.13043478,20.29791667,23.2,6.247916667,17.58333333,11.93571429,6.93125,13.45,3.033333333,18.0775,43.55,16.640625,6.141666667,7.010869565,47.33125,6,0.9,4.616666667,2.45,6.175,9.53125,28.9,25.30909091,11.81333333,4.735416667,18.6375,17.11111111,31.0375,4.666666667,6.75625,22.54583333,26.7,8.964583333,15.521875,7.620833333,11.42105263,23.9875,21.65,2.8,9.8725,11.75217391,14.17708333,25.01458333,9.616666667,17.32045455,17.85,11.67272727,35.115,12.75909091,13.48333333,0.7,28.13611111,15.15,6.7,13.85,4.93,22.92291667,11.79565217,32.87058824,23.7125,19.06052632,24.9,18.91111111,33.35,12.275,4.88125,15.99285714,5.1,3.290909091,18.01388889,18.675,12.18333333,3.2,10.19230769,3.5,9.314583333,8.210416667,19.66111111,18.4925,3.491666667,10.35,14,11.61428571,14.13381606
